Distributor,Customer Name,City,Country,Latitude,Longitude,Channel,Sub-channel,Product Name,Product Class,Quantity,Price,Sales,Month,Year,Name of Sales Rep,Manager,Sales Team
Rohan   ,"Greenholt, Donnelly and O'Reilly Pharmaceutical Limited",Rumia,Poland,54.5667,18.4,Pharmacy,Retail,Ribabyclor,Antiseptics,5.0,469,2345.0,January,2018,Thompson Crawford,James Goodwill,Alfa
Gottlieb-Cruickshank  ,"Steuber, Skiles and Kilback Pharma Plc",Sosnowiec,Poland,50.3,19.1667,Pharmacy,Retail,Menogine,Antiseptics,5.0,742,3710.0,January,2018,Alan Ray,James Goodwill,Alfa
Cassin  ,"Moen, Murazik and Smith ",Siedlce,Poland,52.1833,22.2833,Pharmacy,Retail,Alimmethate Insudase,Analgesics,6.0,624,3744.0,January,2018,Morris Garcia,Tracy Banks,Bravo
Beier  ,Emard-O'Connell Pharmacy,Zakopane,Poland,49.2994,19.9519,Pharmacy,Retail,Relenstrel Exurabine,Antibiotics,10.0,424,4240.0,January,2018,Erica Jones,James Goodwill,Alfa
Smith Inc ,"Towne, Cummerata and Blanda Pharm",Kalisz,Poland,51.757,18.083,Hospital,Private,Secrelazine Insonamic,Antipiretics,5.0,694,3470.0,January,2018,Alan Ray,James Goodwill,Alfa
Prohaska-Kuhic ,Torp-Fisher Pharma Plc,Gorlice,Poland,49.6556,21.1604,Hospital,Government,Ergomethate,Mood Stabilizers,100.0,604,60400.0,January,2018,Alan Ray,James Goodwill,Alfa
Rohan   ,Denesik-Hintz Pharm,Międzyrzec Podlaski,Poland,51.9833,22.8,Pharmacy,Retail,Apromin,Antiseptics,40.0,375,15000.0,January,2018,Mary Gerrard,Britanny Bold,Delta
Prohaska-Kuhic ,Ondricka Ltd Pharmacy,Świnoujście,Poland,53.9167,14.25,Hospital,Government,Sucprine Specbalamin,Antiseptics,2.0,182,364.0,January,2018,Mary Gerrard,Britanny Bold,Delta
Smith Inc ,Kling Inc Pharmaceutical Ltd,Ostrowiec Świętokrzyski,Poland,50.9333,21.4,Pharmacy,Institution,Hydroxyprosyn,Antibiotics,4.0,220,880.0,January,2018,Stella Given,Alisha Cordwell,Charlie
Beier  ,Hill Ltd ,Gliwice,Poland,50.2976,18.6766,Pharmacy,Retail,Effidomide Evofribrate,Antiseptics,72.0,612,44064.0,January,2018,Morris Garcia,Tracy Banks,Bravo
Gottlieb-Cruickshank  ,Kreiger Inc Pharma Plc,Mielec,Poland,50.2833,21.4333,Hospital,Private,Tacrodomide,Antipiretics,16.0,420,6720.0,January,2018,Anne Wu,Britanny Bold,Delta
Beier  ,"Schowalter, Runolfsson and VonRueden Pharmaceutical Ltd",Grudziądz,Poland,53.4925,18.7761,Pharmacy,Retail,Ibrulinum,Antipiretics,10.0,190,1900.0,January,2018,Daniel Gates,Alisha Cordwell,Charlie
Gottlieb-Cruickshank  ,Rohan Inc ,Chojnów,Poland,51.2667,15.9333,Pharmacy,Institution,Benzoprox,Antiseptics,2.0,284,568.0,January,2018,Alan Ray,James Goodwill,Alfa
Carter-Conn  ,Balistreri-Watsica Pharmacy,Ełk,Poland,53.8167,22.35,Pharmacy,Retail,Imiformin Transmunex,Antibiotics,50.0,400,20000.0,January,2018,Abigail Thompson,Tracy Banks,Bravo
Carter-Conn  ,"Zieme, Doyle and Kunze ",Lublin,Poland,51.2333,22.5667,Hospital,Private,Ionclotide,Analgesics,40.0,631,25240.0,January,2018,Alan Ray,James Goodwill,Alfa
Gottlieb-Cruickshank  ,Crona Group Pharma Plc,Kwidzyn,Poland,53.7358,18.9308,Pharmacy,Institution,Malaxolol Aeroprosyn,Antiseptics,72.0,502,36144.0,January,2018,Thompson Crawford,James Goodwill,Alfa
Beier  ,Welch-Langworth ,Warsaw,Poland,52.2167,21.0333,Pharmacy,Retail,Cortirodine Alimcline,Antipiretics,10.0,128,1280.0,January,2018,Jessica Smith,Britanny Bold,Delta
Gottlieb-Cruickshank  ,"Schmitt, Berge and Haley Pharma Plc",Kłodzko,Poland,50.4378,16.6528,Hospital,Private,Neuropogen Empibax,Analgesics,5.0,605,3025.0,January,2018,Jessica Smith,Britanny Bold,Delta
Gottlieb-Cruickshank  ,Lindgren-Simonis Pharm,Biskupiec,Poland,53.8647,20.9569,Pharmacy,Retail,Choriotrisin,Antibiotics,10.0,591,5910.0,January,2018,Sheila Stones,Britanny Bold,Delta
Gottlieb-Cruickshank  ,"Upton, Abernathy and Goodwin Pharmaceutical Ltd",Jarosław,Poland,50.0162,22.6778,Hospital,Government,Aggretisol,Antimalarial,20.0,262,5240.0,January,2018,Erica Jones,James Goodwill,Alfa
Gottlieb-Cruickshank  ,Waelchi LLC Pharmacy,Katowice,Poland,50.25,19.0,Hospital,Government,Asparathasone Unipan,Antibiotics,4.0,153,612.0,January,2018,Sheila Stones,Britanny Bold,Delta
Gottlieb-Cruickshank  ,Runte-Marquardt Pharmaceutical Ltd,Olecko,Poland,54.0333,22.5,Hospital,Private,Pazofenac,Mood Stabilizers,5.0,123,615.0,January,2018,Thompson Crawford,James Goodwill,Alfa
Gottlieb-Cruickshank  ,Rowe PLC Pharmaceutical Ltd,Kęty,Poland,49.8821,19.2233,Pharmacy,Institution,Ergomethate,Mood Stabilizers,1.0,604,604.0,January,2018,Steve Pepple,Tracy Banks,Bravo
Carter-Conn  ,Lesch PLC Pharmacy,Wrocław,Poland,51.1077,17.0353,Hospital,Private,Sucprine Specbalamin,Antiseptics,10.0,182,1820.0,January,2018,Mary Gerrard,Britanny Bold,Delta
Smith Inc ,Heller-Abernathy ,Brzeg Dolny,Poland,51.273,16.7081,Hospital,Private,Ciclonazol,Antiseptics,6.0,121,726.0,January,2018,Erica Jones,James Goodwill,Alfa
Smith Inc ,Buckridge-Davis ,Legnica,Poland,51.2101,16.1619,Hospital,Private,Cephovelam,Mood Stabilizers,4.0,542,2168.0,January,2018,Jessica Smith,Britanny Bold,Delta
Gottlieb-Cruickshank  ,"Kilback, Beer and Batz Pharma Plc",Kutno,Poland,52.2333,19.3667,Pharmacy,Retail,Androporin,Antiseptics,1.0,659,659.0,January,2018,Jessica Smith,Britanny Bold,Delta
Gottlieb-Cruickshank  ,Funk and Sons Pharmaceutical Limited,Tarnobrzeg,Poland,50.5833,21.6833,Pharmacy,Retail,Allomenda,Antipiretics,5.0,487,2435.0,January,2018,Stella Given,Alisha Cordwell,Charlie
Schuppe Inc ,Yundt-Crona Pharmaceutical Ltd,Siemiatycze,Poland,52.4272,22.8625,Hospital,Private,Penitrana,Analgesics,20.0,179,3580.0,January,2018,Abigail Thompson,Tracy Banks,Bravo
Gottlieb-Cruickshank  ,"Steuber, Skiles and Kilback Pharma Plc",Sosnowiec,Poland,50.3,19.1667,Pharmacy,Retail,Thalilamide,Antibiotics,4.0,615,2460.0,February,2018,Erica Jones,James Goodwill,Alfa
Prohaska-Kuhic ,"Zieme, Doyle and Kunze ",Lublin,Poland,51.2333,22.5667,Hospital,Private,Quiniprosyn,Antiseptics,2.0,445,890.0,February,2018,Abigail Thompson,Tracy Banks,Bravo
Gottlieb-Cruickshank  ,"Leuschke, Waters and Schowalter Pharmaceutical Ltd",Krapkowice,Poland,50.4751,17.9654,Pharmacy,Institution,Hemavate Spirolinum,Mood Stabilizers,5.0,210,1050.0,February,2018,Steve Pepple,Tracy Banks,Bravo
Smith Inc ,"Romaguera, Moen and Hagenes Pharmaceutical Limited",Sopot,Poland,54.4419,18.5478,Hospital,Private,Antaparin Varizyme,Mood Stabilizers,20.0,513,10260.0,February,2018,Steve Pepple,Tracy Banks,Bravo
Gottlieb-Cruickshank  ,Mante-Grady Pharm,Lubaczów,Poland,50.1556,23.123,Pharmacy,Institution,Alisteride Pemidizem,Antiseptics,6.0,35,210.0,February,2018,Jimmy Grey,Alisha Cordwell,Charlie
Prohaska-Kuhic ,Funk PLC Pharmaceutical Limited,Mikołów,Poland,50.171,18.9041,Hospital,Government,Primapion,Antibiotics,20.0,492,9840.0,February,2018,Steve Pepple,Tracy Banks,Bravo
Gottlieb-Cruickshank  ,Erdman PLC Pharmacy,Ozimek,Poland,50.6731,18.2131,Pharmacy,Institution,Alemtuvatol Megalinum,Analgesics,4.0,682,2728.0,February,2018,Alan Ray,James Goodwill,Alfa
Gottlieb-Cruickshank  ,"Reynolds, Jast and Mante Pharma Plc",Pleszew,Poland,51.8974,17.7856,Pharmacy,Institution,Acantaine,Antibiotics,1.0,66,66.0,February,2018,Erica Jones,James Goodwill,Alfa
Smith Inc ,"Schmitt, Berge and Haley Pharma Plc",Kłodzko,Poland,50.4378,16.6528,Hospital,Private,Enzastryl,Antiseptics,4.0,26,104.0,February,2018,Abigail Thompson,Tracy Banks,Bravo
Smith Inc ,Rogahn-Klein Pharmacy,Koronowo,Poland,53.3137,17.937,Hospital,Private,Cephozumab Synmethate,Antibiotics,1.0,768,768.0,February,2018,Jimmy Grey,Alisha Cordwell,Charlie
Prohaska-Kuhic ,Ritchie-Rodriguez Pharm,Łuków,Poland,51.9167,22.3833,Pharmacy,Retail,Sevotrana Tiafoxin,Analgesics,6.0,460,2760.0,February,2018,Sheila Stones,Britanny Bold,Delta
Gottlieb-Cruickshank  ,"Gleichner, Bahringer and Morar Pharma Plc",Gostynin,Poland,52.4167,19.4667,Hospital,Private,Benzoprox,Antiseptics,120.0,284,34080.0,February,2018,Thompson Crawford,James Goodwill,Alfa
Gottlieb-Cruickshank  ,Raynor-Graham Pharmaceutical Limited,Gorzów Wielkopolski,Poland,52.7333,15.25,Pharmacy,Institution,Primapion,Antibiotics,1.0,492,492.0,February,2018,Abigail Thompson,Tracy Banks,Bravo
Smith Inc ,Powlowski-Buckridge Pharma Plc,Ustka,Poland,54.5805,16.8619,Hospital,Private,Thionide,Analgesics,30.0,113,3390.0,February,2018,Stella Given,Alisha Cordwell,Charlie
Gottlieb-Cruickshank  ,Funk and Sons Pharmaceutical Limited,Tarnobrzeg,Poland,50.5833,21.6833,Pharmacy,Retail,Tesnorphine Silotamine,Antibiotics,3.0,319,957.0,February,2018,Sheila Stones,Britanny Bold,Delta
Gottlieb-Cruickshank  ,Nader-Borer Pharma Plc,Bielawa,Poland,50.6908,16.623,Pharmacy,Retail,Alimmethate Insudase,Analgesics,7.0,624,4368.0,February,2018,Stella Given,Alisha Cordwell,Charlie
Prohaska-Kuhic ,"Casper, Hyatt and Jakubowski Pharmaceutical Limited",Otwock,Poland,52.1167,21.2667,Hospital,Government,Algluconium Dorzofoxin,Antibiotics,2.0,611,1222.0,February,2018,Morris Garcia,Tracy Banks,Bravo
Prohaska-Kuhic ,Cassin PLC Pharmacy,Miastko,Poland,54.0,16.9833,Hospital,Private,Fentalac,Antipiretics,5.0,618,3090.0,February,2018,Mary Gerrard,Britanny Bold,Delta
Beier  ,"Kilback, Beer and Batz Pharma Plc",Kutno,Poland,52.2333,19.3667,Pharmacy,Retail,Amavirase,Antipiretics,5.0,487,2435.0,February,2018,Anne Wu,Britanny Bold,Delta
Prohaska-Kuhic ,Doyle-Tillman Pharmaceutical Ltd,Dęblin,Poland,51.5667,21.8614,Hospital,Private,Cephovelam,Mood Stabilizers,30.0,542,16260.0,February,2018,Alan Ray,James Goodwill,Alfa
Rohan   ,Balistreri-Watsica Pharmacy,Ełk,Poland,53.8167,22.35,Pharmacy,Retail,Angioparin Brimosumab,Mood Stabilizers,129.0,682,87978.0,February,2018,Jimmy Grey,Alisha Cordwell,Charlie
Gottlieb-Cruickshank  ,Barton Ltd Pharma Plc,Czeladź,Poland,50.3333,19.0833,Hospital,Private,Araxetine,Antibiotics,3.0,450,1350.0,February,2018,Jessica Smith,Britanny Bold,Delta
Prohaska-Kuhic ,Ritchie-Rodriguez Pharm,Łuków,Poland,51.9167,22.3833,Pharmacy,Retail,Choriotrisin,Antibiotics,6.0,591,3546.0,February,2018,Anne Wu,Britanny Bold,Delta
Gottlieb-Cruickshank  ,Monahan Ltd ,Oświęcim,Poland,50.0333,19.2333,Hospital,Government,Arivac,Antimalarial,6.0,567,3402.0,February,2018,Steve Pepple,Tracy Banks,Bravo
Gottlieb-Cruickshank  ,Funk PLC Pharmaceutical Limited,Mikołów,Poland,50.171,18.9041,Hospital,Government,Ibruferon,Antiseptics,25.0,82,2050.0,February,2018,Jessica Smith,Britanny Bold,Delta
Gottlieb-Cruickshank  ,Prohaska-Kuhic Pharmacy,Wisła,Poland,49.6667,18.8667,Pharmacy,Institution,Araxetine,Antibiotics,10.0,450,4500.0,February,2018,Stella Given,Alisha Cordwell,Charlie
Prohaska-Kuhic ,"Herman, Rice and Rippin ",Ziębice,Poland,50.6,17.0444,Hospital,Government,Panpion,Antiseptics,10.0,692,6920.0,February,2018,Steve Pepple,Tracy Banks,Bravo
Gottlieb-Cruickshank  ,Zemlak Group Pharmaceutical Limited,Koszalin,Poland,54.1903,16.1817,Hospital,Private,Relenstrel Exurabine,Antibiotics,1.0,424,424.0,February,2018,Morris Garcia,Tracy Banks,Bravo
Gottlieb-Cruickshank  ,Raynor-Graham Pharmaceutical Limited,Gorzów Wielkopolski,Poland,52.7333,15.25,Pharmacy,Institution,Darlofen,Antipiretics,2.0,577,1154.0,February,2018,Alan Ray,James Goodwill,Alfa
Schuppe Inc ,"Wunsch, Mills and Walter ",Kielce,Poland,50.8725,20.6319,Pharmacy,Institution,Lioletine Refliruvax,Analgesics,216.0,435,93960.0,February,2018,Abigail Thompson,Tracy Banks,Bravo
Smith Inc ,"Steuber, Skiles and Kilback Pharma Plc",Sosnowiec,Poland,50.3,19.1667,Pharmacy,Retail,Dexacilin Triline,Analgesics,2.0,129,258.0,February,2018,Abigail Thompson,Tracy Banks,Bravo
Gottlieb-Cruickshank  ,Moore PLC Pharmaceutical Ltd,Łomża,Poland,53.1833,22.0833,Pharmacy,Retail,Immurenol Temarate,Antipiretics,2.0,303,606.0,February,2018,Jessica Smith,Britanny Bold,Delta
Gottlieb-Cruickshank  ,Purdy Ltd Pharmaceutical Limited,Głuchołazy,Poland,50.3131,17.3742,Hospital,Government,Algluconium Dorzofoxin,Antibiotics,20.0,611,12220.0,February,2018,Anne Wu,Britanny Bold,Delta
Beier  ,Kunze PLC Pharm,Darłowo,Poland,54.4167,16.4167,Hospital,Private,Feruprazole,Mood Stabilizers,72.0,115,8280.0,February,2018,Alan Ray,James Goodwill,Alfa
Gottlieb-Cruickshank  ,"Heathcote, Grant and Witting Pharm",Bielsko-Biała,Poland,49.8225,19.0444,Pharmacy,Institution,Menogine,Antiseptics,12.0,742,8904.0,February,2018,Thompson Crawford,James Goodwill,Alfa
Graham and Sons ,Okuneva-Corkery ,Kostrzyn nad Odrą,Poland,52.5883,14.6667,Hospital,Government,Symdocet,Antipiretics,480.0,470,225600.0,February,2018,Jessica Smith,Britanny Bold,Delta
Smith Inc ,"Cormier, Dietrich and Zulauf Pharma Plc",Puławy,Poland,51.4166,21.9694,Hospital,Government,Ionclotide,Analgesics,30.0,631,18930.0,February,2018,Abigail Thompson,Tracy Banks,Bravo
Prohaska-Kuhic ,Lemke Ltd Pharm,Tarnów,Poland,50.0125,20.9883,Hospital,Private,Adideine,Mood Stabilizers,10.0,678,6780.0,February,2018,Abigail Thompson,Tracy Banks,Bravo
Gottlieb-Cruickshank  ,Welch-Orn ,Chełmno,Poland,53.3492,18.4261,Hospital,Private,Palodizem,Mood Stabilizers,5.0,201,1005.0,February,2018,Sheila Stones,Britanny Bold,Delta
Prohaska-Kuhic ,Erdman PLC Pharmacy,Ozimek,Poland,50.6731,18.2131,Pharmacy,Institution,Claripenem,Antibiotics,6.0,448,2688.0,February,2018,Mary Gerrard,Britanny Bold,Delta
Gottlieb-Cruickshank  ,Parisian Ltd Pharm,Jelenia Góra,Poland,50.9,15.7333,Pharmacy,Institution,Zonixamine Immulinum,Analgesics,2.0,298,596.0,February,2018,Stella Given,Alisha Cordwell,Charlie
Smith Inc ,Lesch PLC Pharmacy,Wrocław,Poland,51.1077,17.0353,Hospital,Private,Betanem,Analgesics,1.0,611,611.0,February,2018,Jimmy Grey,Alisha Cordwell,Charlie
Beier  ,Raynor-Graham Pharmaceutical Limited,Gorzów Wielkopolski,Poland,52.7333,15.25,Pharmacy,Institution,Proprabax,Analgesics,72.0,64,4608.0,February,2018,Abigail Thompson,Tracy Banks,Bravo
Smith Inc ,"Denesik, Walter and Beatty Pharma Plc",Ostrów Mazowiecka,Poland,52.8,21.9,Pharmacy,Institution,Flutacerol,Analgesics,2.0,745,1490.0,February,2018,Erica Jones,James Goodwill,Alfa
Prohaska-Kuhic ,Heidenreich Group Pharmaceutical Ltd,Rzeszów,Poland,50.05,22.0,Pharmacy,Institution,Symbiroban,Antibiotics,20.0,122,2440.0,February,2018,Alan Ray,James Goodwill,Alfa
Gottlieb-Cruickshank  ,Schulist-Zulauf Pharm,Tychy,Poland,50.1667,19.0,Hospital,Private,Requimadin,Antimalarial,20.0,408,8160.0,February,2018,Morris Garcia,Tracy Banks,Bravo
Gottlieb-Cruickshank  ,Ward Group Pharmaceutical Limited,Zabrze,Poland,50.3,18.7833,Pharmacy,Institution,Acubulin,Antipiretics,24.0,490,11760.0,February,2018,Abigail Thompson,Tracy Banks,Bravo
Smith Inc ,Kutch-Marks Pharm,Chełm,Poland,51.1333,23.4833,Hospital,Private,Zithrotrol,Antiseptics,1512.0,137,207144.0,March,2018,Abigail Thompson,Tracy Banks,Bravo
Gottlieb-Cruickshank  ,"Runolfsson, Swaniawski and Jaskolski Pharmacy",Sieradz,Poland,51.6,18.75,Hospital,Private,Ganineva Agenium,Antiseptics,10.0,390,3900.0,March,2018,Thompson Crawford,James Goodwill,Alfa
Gottlieb-Cruickshank  ,Hartmann-Wolf ,Trzebnica,Poland,51.305,17.0614,Hospital,Government,Ribabyclor,Antiseptics,36.0,469,16884.0,March,2018,Stella Given,Alisha Cordwell,Charlie
Prohaska-Kuhic ,Parisian Ltd Pharm,Jelenia Góra,Poland,50.9,15.7333,Pharmacy,Institution,Pulmogen Alitora,Antiseptics,100.0,647,64700.0,March,2018,Morris Garcia,Tracy Banks,Bravo
Gottlieb-Cruickshank  ,Barrows Inc ,Hajnówka,Poland,52.7333,23.5667,Hospital,Private,Afaxacin,Analgesics,150.0,60,9000.0,March,2018,Jimmy Grey,Alisha Cordwell,Charlie
Prohaska-Kuhic ,Will and Sons Pharma Plc,Gniew,Poland,53.8333,18.8333,Pharmacy,Retail,Argalazine Abostryl,Antipiretics,8.0,628,5024.0,March,2018,Daniel Gates,Alisha Cordwell,Charlie
Prohaska-Kuhic ,D'Amore and Sons ,Wągrowiec,Poland,52.8,17.2,Hospital,Private,Clinicilin Pentozone,Antimalarial,20.0,112,2240.0,March,2018,Thompson Crawford,James Goodwill,Alfa
Smith Inc ,Lesch PLC Pharmaceutical Ltd,Głuszyca,Poland,50.6874,16.3717,Pharmacy,Retail,Lacoplex Hyaluvance,Mood Stabilizers,10.0,334,3340.0,March,2018,Morris Garcia,Tracy Banks,Bravo
Smith Inc ,Crona Group Pharma Plc,Kwidzyn,Poland,53.7358,18.9308,Pharmacy,Institution,Pentastrin,Antibiotics,13.0,497,6461.0,March,2018,Steve Pepple,Tracy Banks,Bravo
Gottlieb-Cruickshank  ,Koss Ltd Pharmaceutical Limited,Lwówek Śląski,Poland,51.1167,15.5833,Hospital,Private,Secrelazine Insonamic,Antipiretics,4.0,694,2776.0,March,2018,Erica Jones,James Goodwill,Alfa
Gottlieb-Cruickshank  ,Schaefer LLC Pharmacy,Kamień Pomorski,Poland,53.9697,14.7858,Hospital,Government,Tetratanyl,Antimalarial,30.0,511,15330.0,March,2018,Stella Given,Alisha Cordwell,Charlie
Smith Inc ,Raynor-Graham Pharmaceutical Limited,Gorzów Wielkopolski,Poland,52.7333,15.25,Pharmacy,Institution,Zithrotrol,Antiseptics,50.0,137,6850.0,March,2018,Jimmy Grey,Alisha Cordwell,Charlie
Prohaska-Kuhic ,Lesch PLC Pharmacy,Wrocław,Poland,51.1077,17.0353,Hospital,Private,Topitaine,Mood Stabilizers,2.0,517,1034.0,March,2018,Sheila Stones,Britanny Bold,Delta
Beier  ,"Parisian, Hagenes and Skiles Pharma Plc",Ciechocinek,Poland,52.8833,18.7833,Pharmacy,Retail,Zonixamine Immulinum,Analgesics,90.0,298,26820.0,March,2018,Sheila Stones,Britanny Bold,Delta
Gottlieb-Cruickshank  ,"Moen, Murazik and Smith ",Siedlce,Poland,52.1833,22.2833,Pharmacy,Retail,Belavarix Benzabicin,Antibiotics,20.0,131,2620.0,March,2018,Alan Ray,James Goodwill,Alfa
Cassin  ,Pfeffer-Hodkiewicz Pharmaceutical Ltd,Szczytno,Poland,53.5628,20.9853,Hospital,Government,Theopril,Antipiretics,10.0,768,7680.0,March,2018,Mary Gerrard,Britanny Bold,Delta
Beier  ,"Herman, Rice and Rippin ",Ziębice,Poland,50.6,17.0444,Hospital,Government,Dorzovorin Pentadarone,Antimalarial,2.0,164,328.0,March,2018,Erica Jones,James Goodwill,Alfa
Gottlieb-Cruickshank  ,Breitenberg-Kuhn Pharmacy,Radom,Poland,51.4036,21.1567,Hospital,Private,Acubulin,Antipiretics,3.0,490,1470.0,March,2018,Daniel Gates,Alisha Cordwell,Charlie
Gottlieb-Cruickshank  ,"Schinner, Gaylord and Treutel Pharmaceutical Ltd",Dąbrowa Górnicza,Poland,50.3239,19.1947,Hospital,Government,Dexacilin Triline,Analgesics,10.0,129,1290.0,March,2018,Erica Jones,James Goodwill,Alfa
Prohaska-Kuhic ,Rogahn-Klein Pharmacy,Koronowo,Poland,53.3137,17.937,Hospital,Private,Alglutriptan,Analgesics,10.0,301,3010.0,March,2018,Morris Garcia,Tracy Banks,Bravo
Smith Inc ,Reilly Ltd ,Mława,Poland,53.1167,20.3667,Pharmacy,Retail,Agalsiline,Mood Stabilizers,5.0,64,320.0,March,2018,Mary Gerrard,Britanny Bold,Delta
Cassin  ,Yundt-Crona Pharmaceutical Ltd,Siemiatycze,Poland,52.4272,22.8625,Hospital,Private,Imiderm Vibranovate,Antipiretics,20.0,390,7800.0,March,2018,Thompson Crawford,James Goodwill,Alfa
Gottlieb-Cruickshank  ,"Blick, Pacocha and Schowalter ",Inowrocław,Poland,52.7958,18.2611,Pharmacy,Retail,Syntheruvax Proracin,Antimalarial,4.0,86,344.0,March,2018,Stella Given,Alisha Cordwell,Charlie
Beier  ,Daugherty-Rempel Pharma Plc,Bełżyce,Poland,51.1833,22.2667,Hospital,Government,Liomulin,Mood Stabilizers,20.0,490,9800.0,March,2018,Alan Ray,James Goodwill,Alfa
Prohaska-Kuhic ,Parisian Ltd Pharm,Jelenia Góra,Poland,50.9,15.7333,Pharmacy,Institution,Tracdomide,Antipiretics,2.0,548,1096.0,March,2018,Thompson Crawford,James Goodwill,Alfa
Prohaska-Kuhic ,Keeling LLC Pharmacy,Olsztyn,Poland,53.78,20.4942,Pharmacy,Retail,Testant,Mood Stabilizers,10.0,488,4880.0,March,2018,Stella Given,Alisha Cordwell,Charlie
Gottlieb-Cruickshank  ,Jakubowski Inc Pharmaceutical Limited,Bolesławiec,Poland,51.2667,15.5667,Pharmacy,Retail,Zyvance,Analgesics,3.0,323,969.0,March,2018,Anne Wu,Britanny Bold,Delta
Gottlieb-Cruickshank  ,"Greenholt, Donnelly and O'Reilly Pharmaceutical Limited",Rumia,Poland,54.5667,18.4,Pharmacy,Retail,Ampinonide,Antimalarial,30.0,248,7440.0,March,2018,Abigail Thompson,Tracy Banks,Bravo
Smith Inc ,Gibson-Hill Pharma Plc,Chrzanów,Poland,50.1333,19.4,Hospital,Private,Effidomide Evofribrate,Antiseptics,2.0,612,1224.0,March,2018,Daniel Gates,Alisha Cordwell,Charlie
Smith Inc ,Steuber Ltd Pharmacy,Ostrołęka,Poland,53.0833,21.5667,Hospital,Private,Factolamide,Antiseptics,2.0,345,690.0,March,2018,Daniel Gates,Alisha Cordwell,Charlie
Smith Inc ,Kutch-Marks Pharm,Chełm,Poland,51.1333,23.4833,Hospital,Private,Abilovir Aprotasol,Antipiretics,4.0,269,1076.0,March,2018,Jessica Smith,Britanny Bold,Delta
Gottlieb-Cruickshank  ,Lesch PLC Pharmaceutical Ltd,Głuszyca,Poland,50.6874,16.3717,Pharmacy,Retail,Presetron,Mood Stabilizers,5.0,216,1080.0,March,2018,Jessica Smith,Britanny Bold,Delta
Gottlieb-Cruickshank  ,"Schowalter, Runolfsson and VonRueden Pharmaceutical Ltd",Grudziądz,Poland,53.4925,18.7761,Pharmacy,Retail,Theopril,Antipiretics,2.0,768,1536.0,March,2018,Jessica Smith,Britanny Bold,Delta
Gottlieb-Cruickshank  ,Herman-Koss Pharm,Lubsko,Poland,51.7877,14.9724,Hospital,Private,Symdocet,Antipiretics,3.0,470,1410.0,March,2018,Sheila Stones,Britanny Bold,Delta
Gottlieb-Cruickshank  ,Lemke Ltd Pharm,Tarnów,Poland,50.0125,20.9883,Hospital,Private,Pazofenac,Mood Stabilizers,5.0,123,615.0,March,2018,Jimmy Grey,Alisha Cordwell,Charlie
Smith Inc ,Vandervort LLC Pharma Plc,Łańcut,Poland,50.0687,22.2291,Pharmacy,Institution,Novakyn Tracprox,Antiseptics,20.0,288,5760.0,March,2018,Stella Given,Alisha Cordwell,Charlie
